city_name,num_games,avg_temp_max,avg_total_points
Philippi,1,27.8,0.0
Mars Hill,1,30.3,25.0
Ada,1,35.6,41.0
Topeka,1,29.9,53.0
Louisville,1,26.4,56.0
Hays,1,30.5,54.0
Maryville,1,30.0,46.0
Westfield,1,27.3,46.0
Davidson,1,29.8,64.0
Bridgewater,1,33.1,45.0
Lancaster,1,34.4,0.0
Buzzards Bay,1,29.1,21.0
Bloomington,1,24.3,48.0
Kingston,1,31.7,49.0
Canton,1,24.8,21.0
Terre Haute,1,23.0,57.0
Wheeling,1,25.3,71.0
Newport,1,25.4,29.0
Huntingdon,1,26.9,34.0
Winston-Salem,1,28.0,56.0
Crestview Hills,1,26.1,37.0
Athens,1,27.3,48.0
Cincinnati,1,25.9,83.0
Raleigh,1,26.9,69.0
West Point,1,30.8,57.0
